# name-mention-classification.tsv — XSPEC-389 R1（2026-08-21 分類）
# 欄位: path<TAB>line<TAB>category<TAB>match<TAB>reason
# category ∈ {substantive(實質引用), incidental(順帶提及), dead(已死引用)}
# match = 分類當下該行 trim 後內容；scripts/check-name-mention-classification.ts 用它偵測漂移——
#         行內容變了或行號移了，該筆會落回「判不了」而非沿用舊分類。
# 維護方式：跑 npm run check:name-mentions，把它列出的未分類/漂移命中逐筆補回這裡。
.github/workflows/ci.yml	131	incidental	# 而**沒有任何使用者到得了它們**；同一天 VibeOps 接上了 `npx uds lint --json`，	XSPEC-383 歷史事故的說明註解
.release-readiness/6.1.1.md	18	incidental	| 14 | Production Smoke/Canary | PASS | clean-room install job in publish.yml; `uds check` verified against real fixtures — RED (fake 5.0.0 → forward `5.0.0 → 6.1.0` + two-step fix), GREEN (vibeops 6.1.0 → no warning), offline (no comparison, exit 0); the pre-fix backwards message (`6.1.0 → 5.12.1`) was reproduced live before the fix | Albert Hsu |	發版簽核紀錄，敘述當時對 vibeops 的實測
.release-readiness/6.1.1.md	45	incidental	`displayAdoptionStatus` checked `manifest.upstream.version` against the standards bundled *inside the running CLI* (`repoInfo.standards.version`). When the CLI itself was stale, that copy was older than npm — producing a backwards `⚠ Update available: 6.1.0 → 5.12.1` and structurally never able to say your standards were behind. This live bug was reproduced against vibeops (installed 6.1.0, an old global CLI bundling 5.12.1) before the fix. Now it feeds on `checkForUpdates(manifest.upstream.version)`: `available` = installed < npm latest. Message reframed (EN/zh-TW/zh-CN) to "your installed standards are behind" with the full two-step fix (`npm update -g` **and then** `uds update`); `--offline` skips silently.	發版簽核紀錄，重現當時 bug 的歷史敘述
.standards/license-compliance.ai.yaml	19	incidental	- XSPEC-193   # v2.0.0 + v2.1.0 AI-specific rules - VibeOps License Compliance Agent	related_specs 註解引用 XSPEC-193，名稱僅為外部規格標題的一部分
.standards/license-compliance.ai.yaml	22	incidental	- DEC-063     # VibeOps legal & compliance strategy	related_specs 註解引用 DEC-063 標題
.standards/license-compliance.ai.yaml	39	substantive	Tier 2 is binding on AI Agents that produce code (VibeOps Generator Agent	規範性約束對象直接點名 VibeOps Generator Agent
.standards/license-compliance.ai.yaml	93	substantive	scope, but MAY NOT bypass platform-floor limits set in the VibeOps	規範性條文引用 VibeOps EULA §9 作為平台底線
.standards/license-compliance.ai.yaml	378	substantive	// AI-generated: VibeOps v{version} on {date}	LC-008 強制透明標記格式，規定輸出物本文內嵌產品名
.standards/license-compliance.ai.yaml	383	substantive	> AI Generation Disclosure: This content was AI-generated by VibeOps	LC-008 markdown 標記格式，規定輸出物內嵌產品名
.standards/license-compliance.ai.yaml	386	substantive	_ai_generated: "VibeOps v{version} on {date} — EU AI Act Article 50"	LC-008 json/yaml 標記格式，規定輸出物內嵌產品名
.standards/license-compliance.ai.yaml	396	substantive	Customers MAY adjust lists via ~/.vibeops/license-policy.yaml, but	規範性條文指定 ~/.vibeops/license-policy.yaml（名稱衍生路徑；vibeops policy-loader.ts:9 實作中）
.standards/license-compliance.ai.yaml	450	dead	vibeops_config_path: src/agents/license-compliance/rules.yaml	vibeops_config_path 指向 src/agents/license-compliance/rules.yaml，vibeops repo 查無此檔（git ls-files 0 命中；實際實作在 src/platform/license-compliance/）
.standards/license-compliance.ai.yaml	451	substantive	customer_config_path: ~/.vibeops/license-policy.yaml	customer_config_path 為名稱衍生路徑 ~/.vibeops/，vibeops 實作中
.standards/license-compliance.ai.yaml	453	substantive	- "v2.1.0 adds ClearlyDefined API integration, AST PII analysis, and EmbeddingProvider strategy. Requires VibeOps ≥ v1.6.0 (commit c44a4bf)."	版本需求「VibeOps ≥ v1.6.0 (commit c44a4bf)」；版本與 commit 均實存
.standards/license-compliance.ai.yaml	457	substantive	- "When this standard is consumed by VibeOps, the License Compliance Agent enforces every LC rule listed above. Other adopters MAY choose to enforce LC rules via CI alone (Tier 1 REQ-002 path)."	adoption note 宣告被 VibeOps 消費時由其 LC Agent 強制執行全部 LC 規則
.standards/license-compliance.ai.yaml	475	substantive	Minimum runtime: Node.js 22 + VibeOps v1.6.0.	最低執行環境點名 VibeOps v1.6.0
.standards/model-provenance.ai.yaml	58	incidental	- Enforcement-engine wiring (e.g. VibeOps provider abstraction / router gate) — downstream adoption concern	scope 排除段以「e.g. VibeOps provider abstraction」為下游接線示例
.standards/resource-cost-boundary.ai.yaml	5	incidental	#            XSPEC-285 (VibeOps proactive cost governance — the enforcement/executor face)	檔頭註解引用 XSPEC-285 標題
.standards/resource-cost-boundary.ai.yaml	20	incidental	- XSPEC-285   # VibeOps proactive cost governance — enforcement/executor face	related_specs 註解引用 XSPEC-285 標題
.standards/resource-cost-boundary.ai.yaml	52	incidental	- Enforcement-engine wiring (e.g. the VibeOps proactive cost-governance executor, XSPEC-285) — downstream	scope 排除段以「e.g. the VibeOps ... executor」為下游示例
.standards/resource-cost-boundary.ai.yaml	103	substantive	Existing VibeOps point mechanisms converge onto this standard as reference implementations	reference_implementations 宣告既有 VibeOps 機制收斂為本標準參考實作
.standards/resource-cost-boundary.ai.yaml	277	substantive	- "This standard is the 'declare what bounds' half; XSPEC-285 (VibeOps proactive cost governance) is the 'enforce/govern' half."	notes 宣告本標準與 XSPEC-285（VibeOps）互為宣告/強制兩半的結構關係
.standards/test-governance.ai.yaml	225	incidental	vibeops/scripts/ for months but was not called by pre-commit, allowing	歷史事故敘述（vibeops/scripts/ 數月未被 pre-commit 呼叫）
.standards/verification-oracle.ai.yaml	56	incidental	- Enforcement-engine wiring (e.g. VibeOps pipeline gate) — downstream adoption concern	scope 排除段以「e.g. VibeOps pipeline gate」為下游示例
CHANGELOG.md	564	incidental	- **`docs/user/` user documentation hub** (XSPEC-211): New dual-track documentation structure mirroring VibeOps conventions. Contains 8 files serving first-time users and daily users:	變更紀錄歷史敘述（R5：歷史不可改寫）
CHANGELOG.md	705	incidental	- **Downstream-project decoupling** (6 Batches, `ebe716c`–`2392c0f`): All public-facing references to specific downstream projects (DevAP / VibeOps) replaced with adoption-layer neutral terminology across 130+ files. UDS is reaffirmed as a pure MIT + CC BY 4.0 standards library independent of any specific adoption layer. Key areas: `README.md`/`CLAUDE.md`/locales, `.standards/`/`ai/standards/` DEPRECATED stubs, `core/*.md`/locale mirrors, `cli/` source + tests, `skills/*/SKILL.md`, `flows/*.flow.yaml`/`flows/README.md`, `docs/specs/`, `specs/` root, `packaging-standards`, `git-worktree` path examples.	變更紀錄歷史敘述——正是 v6 下游解耦批次的紀錄
CHANGELOG.md	1052	incidental	- 定義 DevAP/VibeOps → UDS 的標準效果回饋 JSON 格式	變更紀錄歷史敘述
CHANGELOG.md	1209	incidental	- SPEC-008 新增 DevAP / VibeOps CLI 整合模式規劃（`--target devap/vibeops`）	變更紀錄歷史敘述（本行含 2 次出現）
ai/standards/license-compliance.ai.yaml	19	incidental	- XSPEC-193   # v2.0.0 + v2.1.0 AI-specific rules - VibeOps License Compliance Agent	related_specs 註解引用 XSPEC-193，名稱僅為外部規格標題的一部分
ai/standards/license-compliance.ai.yaml	22	incidental	- DEC-063     # VibeOps legal & compliance strategy	related_specs 註解引用 DEC-063 標題
ai/standards/license-compliance.ai.yaml	39	substantive	Tier 2 is binding on AI Agents that produce code (VibeOps Generator Agent	規範性約束對象直接點名 VibeOps Generator Agent
ai/standards/license-compliance.ai.yaml	93	substantive	scope, but MAY NOT bypass platform-floor limits set in the VibeOps	規範性條文引用 VibeOps EULA §9 作為平台底線
ai/standards/license-compliance.ai.yaml	378	substantive	// AI-generated: VibeOps v{version} on {date}	LC-008 強制透明標記格式，規定輸出物本文內嵌產品名
ai/standards/license-compliance.ai.yaml	383	substantive	> AI Generation Disclosure: This content was AI-generated by VibeOps	LC-008 markdown 標記格式，規定輸出物內嵌產品名
ai/standards/license-compliance.ai.yaml	386	substantive	_ai_generated: "VibeOps v{version} on {date} — EU AI Act Article 50"	LC-008 json/yaml 標記格式，規定輸出物內嵌產品名
ai/standards/license-compliance.ai.yaml	396	substantive	Customers MAY adjust lists via ~/.vibeops/license-policy.yaml, but	規範性條文指定 ~/.vibeops/license-policy.yaml（名稱衍生路徑；vibeops policy-loader.ts:9 實作中）
ai/standards/license-compliance.ai.yaml	450	dead	vibeops_config_path: src/agents/license-compliance/rules.yaml	vibeops_config_path 指向 src/agents/license-compliance/rules.yaml，vibeops repo 查無此檔（git ls-files 0 命中；實際實作在 src/platform/license-compliance/）
ai/standards/license-compliance.ai.yaml	451	substantive	customer_config_path: ~/.vibeops/license-policy.yaml	customer_config_path 為名稱衍生路徑 ~/.vibeops/，vibeops 實作中
ai/standards/license-compliance.ai.yaml	453	substantive	- "v2.1.0 adds ClearlyDefined API integration, AST PII analysis, and EmbeddingProvider strategy. Requires VibeOps ≥ v1.6.0 (commit c44a4bf)."	版本需求「VibeOps ≥ v1.6.0 (commit c44a4bf)」；版本與 commit 均實存
ai/standards/license-compliance.ai.yaml	457	substantive	- "When this standard is consumed by VibeOps, the License Compliance Agent enforces every LC rule listed above. Other adopters MAY choose to enforce LC rules via CI alone (Tier 1 REQ-002 path)."	adoption note 宣告被 VibeOps 消費時由其 LC Agent 強制執行全部 LC 規則
ai/standards/license-compliance.ai.yaml	475	substantive	Minimum runtime: Node.js 22 + VibeOps v1.6.0.	最低執行環境點名 VibeOps v1.6.0
ai/standards/model-provenance.ai.yaml	58	incidental	- Enforcement-engine wiring (e.g. VibeOps provider abstraction / router gate) — downstream adoption concern	scope 排除段以「e.g. VibeOps provider abstraction」為下游接線示例
ai/standards/resource-cost-boundary.ai.yaml	5	incidental	#            XSPEC-285 (VibeOps proactive cost governance — the enforcement/executor face)	檔頭註解引用 XSPEC-285 標題
ai/standards/resource-cost-boundary.ai.yaml	20	incidental	- XSPEC-285   # VibeOps proactive cost governance — enforcement/executor face	related_specs 註解引用 XSPEC-285 標題
ai/standards/resource-cost-boundary.ai.yaml	52	incidental	- Enforcement-engine wiring (e.g. the VibeOps proactive cost-governance executor, XSPEC-285) — downstream	scope 排除段以「e.g. the VibeOps ... executor」為下游示例
ai/standards/resource-cost-boundary.ai.yaml	103	substantive	Existing VibeOps point mechanisms converge onto this standard as reference implementations	reference_implementations 宣告既有 VibeOps 機制收斂為本標準參考實作
ai/standards/resource-cost-boundary.ai.yaml	277	substantive	- "This standard is the 'declare what bounds' half; XSPEC-285 (VibeOps proactive cost governance) is the 'enforce/govern' half."	notes 宣告本標準與 XSPEC-285（VibeOps）互為宣告/強制兩半的結構關係
ai/standards/test-governance.ai.yaml	225	incidental	vibeops/scripts/ for months but was not called by pre-commit, allowing	歷史事故敘述（vibeops/scripts/ 數月未被 pre-commit 呼叫）
ai/standards/verification-oracle.ai.yaml	56	incidental	- Enforcement-engine wiring (e.g. VibeOps pipeline gate) — downstream adoption concern	scope 排除段以「e.g. VibeOps pipeline gate」為下游示例
cli/scripts/check-module-reachability.mjs	8	incidental	*   **兩者從未被註冊，沒有任何使用者到得了它們**——而同一天 VibeOps 把自己接上	XSPEC-383 歷史事故的說明註解
cli/src/commands/lint.js	7	substantive	* registered — VibeOps's `lint-executor.ts` has been calling	註解錨定活契約：VibeOps lint-executor.ts 持續呼叫 npx uds lint --json（該檔實存於 vibeops）
cli/src/commands/lint.js	15	substantive	* new design — it matches the shape VibeOps's `lint-executor.ts` has already	--json 形狀明文以 VibeOps lint-executor.ts 既有解析為準（契約歸屬宣告）
cli/src/commands/lint.js	18	substantive	* the VibeOps side.	同段落：接線不需改動 VibeOps 側（契約歸屬宣告）
cli/src/reconciler/backup-manager.js	96	incidental	// note below). Measured on a real repo before the fix: a vibeops backup	修正前於真實 repo（vibeops）的量測敘述
cli/src/utils/integration-generator.js	2827	incidental	// path (pre-3.4.0) or the ID. vibeops and dev-platform both still carry	舉 vibeops/dev-platform 為仍帶舊格式的實例說明相容分支緣由；程式行為與名稱無關
cli/src/utils/skills-installer.js	589	incidental	// false positive that made `uds check` useless before R6. Found in vibeops:	歷史誤報案例的出處敘述
cli/src/utils/spec-linter.js	9	incidental	* registering `uds lint` and running it against VibeOps's 93 real specs	歷史驗證過程敘述（曾對 VibeOps 93 份規格實跑）
cli/src/utils/spec-linter.js	14	substantive	* `skills/ac-coverage`, while VibeOps's tests tag coverage as `AC-045-001`	解析格式以 VibeOps 測試的 AC 標記格式為錨（活契約）
cli/tests/commands/deps.test.js	414	incidental	// The VibeOps tree-sitter case: the range matches exactly one published	以歷史案例（VibeOps tree-sitter）命名測試情境
cli/tests/commands/lint.test.js	4	incidental	// unregistered, for four and a half months while VibeOps called it and got	歷史事故敘述（四個半月未註冊）
cli/tests/commands/lint.test.js	83	substantive	// scanned" flag — it must stay exactly what VibeOps's lint-executor.ts	斷言旗標語意必須維持 VibeOps lint-executor.ts 期待的形狀（活契約）
cli/tests/commands/lint.test.js	110	substantive	it('--json produces the {summary, results[{specId,status,message}]} contract VibeOps parses', async () => {	測試名明訂 --json 為 VibeOps 解析的契約
cli/tests/commands/update.test.js	1467	incidental	// vibeops has 140 skill files on disk and installations: [] in the	引述觀測到的採用者（vibeops）實況作為測試動機
cli/tests/unit/core/manifest.integrations.test.js	33	incidental	describe('the shape vibeops had — tool keys', () => {	「vibeops 曾有的形狀」歷史 fixture 描述
cli/tests/unit/reconciler/backup-covers-directories.test.js	14	incidental	* Measured on a real repo before the fix — a vibeops backup manifest recorded	修正前於真實 repo（vibeops）的量測敘述
core/audit-trail.md	21	substantive	the VibeOps Governance Agent intervention record (DEC-042). It composes with the	標準定位宣告：本標準為 VibeOps Governance Agent 介入紀錄（DEC-042）的核心載體
core/audit-trail.md	113	incidental	- DEC-020 — VibeOps commercial dual license (license-compliance auditing)	References 清單中 DEC-020 標題註解
core/feature-manifest-standard.md	12	incidental	The Feature Manifest Standard defines a machine-readable format (`feature-manifest.yaml`) for cataloguing all features of an existing system before migration or refactoring begins. It provides a structured bridge between the legacy system's capabilities and the new system's acceptance criteria, enabling tools (VibeOps `/vo-pipeline --variant migration`) to enforce completeness gates automatically.	括號舉 VibeOps /vo-pipeline 為可執行閘門的工具實例（指令實存）；換任一工具照樣成立
core/license-compliance.md	36	substantive	Binding on AI Agents that produce code (VibeOps Generator Agent and equivalents).	規範性約束對象點名 VibeOps Generator Agent
core/license-compliance.md	110	incidental	- DEC-063 — VibeOps legal & compliance strategy	References 清單 DEC-063 標題
core/model-provenance.md	30	incidental	> customer-owned compliance posture). Enforcement engine wiring (e.g. a VibeOps provider	「e.g. a VibeOps provider…」下游接線示例
core/model-provenance.md	170	incidental	- DEC-075 — VibeOps domain-neutral positioning (neutral mechanism / policy belongs to ecosystem)	References 清單 DEC-075 標題
core/resource-cost-boundary.md	27	incidental	> VibeOps proactive cost governance executor) is a downstream adoption concern; this standard	「e.g. VibeOps proactive cost governance executor」下游示例
core/resource-cost-boundary.md	32	substantive	VibeOps already has cost mechanisms, but **scattered and unstandardized** — each is a point	動機段落斷言 VibeOps 已有分散未標準化的成本機制（對實際產品的事實宣稱）
core/resource-cost-boundary.md	170	substantive	- XSPEC-285 — VibeOps proactive cost governance (the enforcement/executor face of this standard)	References 條目宣告 XSPEC-285（VibeOps）為本標準的強制/執行器面（兩半結構）
core/runbook.md	22	substantive	unique UDS contribution is an AI-executable runbook schema that a VibeOps	本標準的獨特貢獻定義為可被 VibeOps Governance Agent 執行的 schema
core/smoke-test.md	25	incidental	BASE_URL="${VIBEOPS_URL:-http://localhost:3000}"	範例腳本中的 VIBEOPS_URL 環境變數示例，任何名稱皆成立
core/smoke-test.md	58	incidental	VIBEOPS_URL: http://localhost:3000	範例 CI 片段中的 VIBEOPS_URL 環境變數示例
